name,category,latitude,longitude,type
Centara Blue Marine Resort & Spa,Tourism/Hotel,7.9109448,98.2974312,node
Best Western Ocean Resort,Tourism/Hotel,7.8516198,98.2952952,node
Sea Breeze Bungalows,Tourism/Hotel,7.814237,98.300223,node
Kata Hill Sea View,Tourism/Hotel,7.8145598,98.300702,node
Tuscany Guesthouse,Tourism/Hotel,7.8150842,98.3000701,node
Rico's Bungalows,Tourism/Hotel,7.8175205,98.3009354,node
Kata Country House,Tourism/Hotel,7.8206344,98.2997198,node
Ibis Phuket Kata,Tourism/Hotel,7.8227941,98.2992421,node
Bamboo Village,Tourism/Hotel,7.8232209,98.2989015,node
Kata Garden Resort,Tourism/Hotel,7.828152,98.2962765,node
Marina Phuket Resort,Tourism/Hotel,7.8288264,98.2950145,node
Ruam Thep Inn,Tourism/Hotel,7.8301384,98.2949495,node
Thavorn Palm Beach Resort,Tourism/Hotel,7.8363072,98.2958211,node
Thavorn Beach Resort,Tourism/Hotel,7.83595,98.298462,node
Lae Lay Suites,Tourism/Hotel,7.8295361,98.3013296,node
The Oasis Spa,Tourism/Hotel,7.819335,98.31526,node
Phulin resort,Tourism/Hotel,7.8467557,98.299756,node
FamilyMart,Shopping,7.847588,98.297188,node
Surin Park,Tourism/Hotel,7.98154,98.280471,node
Duangjitt Resort and Spa,Tourism/Hotel,7.8854476,98.2919077,node
Goldsea beach hotel,Tourism/Hotel,7.8911952,98.2951908,node
Royal Crown Hotel & Palm Spa Resort,Tourism/Hotel,7.8936915,98.3057527,node
Villa Atchara Phuket Thailand.,Tourism/Hotel,7.9066683,98.2986513,node
Andaman Cannacia Resort,Tourism/Hotel,7.8127325,98.3008106,node
Pullman Phuket Panwa Beach Resort,Tourism/Hotel,7.8102185,98.4024505,node
Baumancasa,Tourism/Hotel,7.843004,98.2961136,node
Lemon House,Tourism/Hotel,7.8866805,98.3035776,node
Tesco Lotus,Shopping,7.9814522,98.3638841,node
Sino House,Tourism/Hotel,7.886669,98.3936126,node
น้ำตกบางแป,Tourism/Hotel,8.0382292,98.3904109,node
Angsana Laguna Phuket,Tourism/Hotel,8.0055531,98.2965797,node
Ayara Hilltops Resort and Spa,Tourism/Hotel,7.9703361,98.2772187,node
Arinara Bangtao Beach Resort,Tourism/Hotel,7.9873972,98.2898537,node
OUTRIGGER Surin Beach Resort,Tourism/Hotel,7.9770296,98.2807557,node
The Chava Resort,Tourism/Hotel,7.9783698,98.2802944,node
Twinpalms Phuket,Tourism/Hotel,7.9776007,98.2810633,node
Villa La Difference,Tourism/Hotel,7.9732602,98.2810479,node
Novotel Phuket Kamala Beach,Tourism/Hotel,7.9637548,98.2845238,node
Andara Resort & Villas,Tourism/Hotel,7.9492264,98.2751981,node
Ayara Kamala Resort & Villa,Tourism/Hotel,7.9478182,98.2626764,node
Cape Sienna Phuket Hotel & Villas,Tourism/Hotel,7.9496557,98.2741207,node
Paresa Resort Phuket,Tourism/Hotel,7.9332376,98.2619851,node
Thavorn Beach Village and Spa,Tourism/Hotel,7.9264626,98.272427,node
All Seasons Naiharn Phuket,Tourism/Hotel,7.7786785,98.3055679,node
Super Cheap,Shopping,7.8808583,98.3674294,node
Yanui Seaview,Tourism/Hotel,7.7682243,98.3069725,node
Baan Yanui Beach Bungalow,Tourism/Hotel,7.7679738,98.3076199,node
Baan Suan Resort,Tourism/Hotel,7.7700631,98.3147938,node
Chandara Resort & Spa,Tourism/Hotel,8.0665727,98.4410473,node
Supalai Resort & Spa,Tourism/Hotel,8.0838722,98.4338573,node
Diamond Cottage Resort & Spa,Tourism/Hotel,7.8276652,98.2970667,node
Karon Beach Resort & Spa,Tourism/Hotel,7.8295002,98.2947868,node
La Flora Resort Patong,Tourism/Hotel,7.8955578,98.2954925,node
Safari Beach Hotel,Tourism/Hotel,7.8944864,98.2956621,node
The Kee Resort & Spa,Tourism/Hotel,7.8950255,98.2974329,node
Phuket Sea Resort,Tourism/Hotel,7.7751292,98.3251208,node
Rawai Beach Resort,Tourism/Hotel,7.7727981,98.3221446,node
โรงเรียนวัดเมืองใหม่,Education,8.0858547,98.3420537,node
Lotus's go fresh,Shopping,7.8257739,98.3018028,node
Kamala Penthouse - Thailand,Tourism/Hotel,7.9463392,98.2844826,node
Royal Prince Residence,Tourism/Hotel,7.8911413,98.3031862,node
91 Residence Patong,Tourism/Hotel,7.9017629,98.3068105,node
Tesco Lotus,Shopping,8.0213805,98.3377924,node
Family Mart,Shopping,7.8079383,98.336995,node
Tops,Shopping,7.8081228,98.3370918,node
Cloud 19 Beach Retreat,Tourism/Hotel,7.8129319,98.3869424,node
Baan Suwantawe,Tourism/Hotel,7.8857205,98.3926133,node
99 Old Town Guesthouse,Tourism/Hotel,7.8848238,98.3899897,node
CC's Hideaway,Tourism/Hotel,7.8298374,98.304652,node
Pai Tan villas,Tourism/Hotel,7.9845162,98.2877763,node
Salathai Resort,Tourism/Hotel,7.8971,98.29768,node
Sawasdee Village Resort,Tourism/Hotel,7.821433,98.3008462,node
Phuket Merlin Hotel,Tourism/Hotel,7.8904442,98.3864967,node
Makro,Shopping,8.0199546,98.3342644,node
Home Pro Village,Shopping,7.8247301,98.3392153,node
The Viridian Resort,Tourism/Hotel,7.8905194,98.2959078,node
Dutsadee Worabut,Tourism/Hotel,7.9035923,98.2995514,node
Chanalai Garden Resort,Tourism/Hotel,7.8131179,98.2993405,node
SeaHorse Hotel Phuket,Tourism/Hotel,7.8901406,98.2975891,node
Genesis Gold Villa,Tourism/Hotel,7.7739311,98.3212274,node
Honey Resort,Tourism/Hotel,7.8245548,98.2988338,node
Small Shells,Tourism/Hotel,7.8843856,98.2960562,node
Hotel Sole,Tourism/Hotel,7.8938653,98.3021653,node
feng shui house,Tourism/Hotel,7.8859745,98.3040411,node
Hotel Novotel Phuket Vintage Park Resort,Tourism/Hotel,7.8991433,98.3002722,node
Power Inn,Tourism/Hotel,7.8877609,98.2998246,node
Paksaa Boutique Hotel,Tourism/Hotel,7.8867331,98.2990605,node
The Royal Paradise Hotel & Spa,Tourism/Hotel,7.8952069,98.2990405,node
White Sand Resortel,Tourism/Hotel,7.8978028,98.2970008,node
M-Narina,Tourism/Hotel,7.8817853,98.2932257,node
Arita,Tourism/Hotel,7.8819676,98.2931195,node
Judy,Tourism/Hotel,7.8814923,98.2931974,node
Garden Phuket,Tourism/Hotel,7.881629,98.2933319,node
YK Patong,Tourism/Hotel,7.880984,98.2934186,node
Malin Patong,Tourism/Hotel,7.8814043,98.2924978,node
I Dee,Tourism/Hotel,7.8816869,98.292768,node
The Bluez Eco,Tourism/Hotel,7.8249838,98.3008596,node
FamilyMart,Shopping,7.821263,98.2997584,node
Kata Silver Sun,Tourism/Hotel,7.8196619,98.3003377,node
FamilyMart,Shopping,7.8180362,98.3006468,node
Kata Pool Side Resort,Tourism/Hotel,7.816865,98.301043,node
Romantica Resort,Tourism/Hotel,7.8193148,98.3002919,node
999 Minimart,Shopping,7.818536,98.3004123,node
999 Minimart,Shopping,7.8161705,98.3000201,node
Jinta Andaman,Tourism/Hotel,7.8233721,98.3005892,node
Ascot Boutique Hotel,Tourism/Hotel,7.8231623,98.3003592,node
Capannina Inn,Tourism/Hotel,7.8230937,98.2999594,node
Glitter house,Tourism/Hotel,7.8231279,98.3001763,node
Pit Stop Guest House,Tourism/Hotel,7.8231492,98.3002881,node
Smile House Kata,Tourism/Hotel,7.8231394,98.300245,node
The Retro Siam,Tourism/Hotel,7.8231689,98.3003849,node
Sugar Marina Surf,Tourism/Hotel,7.8244757,98.2990936,node
Bamboo Mart,Shopping,7.8259282,98.2969463,node
Beyond Resort Karon,Tourism/Hotel,7.8293362,98.2950693,node
Sunprime Kamala Beach,Tourism/Hotel,7.9524508,98.2845619,node
The Tint @ Phuket Town,Tourism/Hotel,7.886876,98.3921715,node
By the Sea,Tourism/Hotel,7.8180346,98.3852487,node
Blue Canyon Country Club,Tourism/Hotel,8.1065555,98.3344951,node
Chain of love,Tourism/Hotel,7.912258,98.3680743,node
House & Home,Shopping,7.8770059,98.3634087,node
King Power duty free mall,Shopping,7.8738025,98.3636124,node
Novotel Karon Beach,Tourism/Hotel,7.853852,98.2927137,node
Karon Cliff,Tourism/Hotel,7.8604351,98.288616,node
Patong Grand Villa,Tourism/Hotel,7.8753958,98.2889319,node
Secret Cliff Resort,Tourism/Hotel,7.8609471,98.2842367,node
Tops,Shopping,7.8862831,98.391817,node
Thavorn,Tourism/Hotel,7.8829248,98.3900075,node
The Blanket Hotel,Tourism/Hotel,7.8810764,98.3921459,node
Phuket airport hotel,Tourism/Hotel,8.1009306,98.3065115,node
Ocean & Ole,Tourism/Hotel,7.8921156,98.3017489,node
Nipa Resort,Tourism/Hotel,7.8956892,98.3022686,node
T-Terrace Guesthouse,Tourism/Hotel,7.8896619,98.296165,node
24 Hours,Shopping,7.7881143,98.3302649,node
jira house,Tourism/Hotel,7.9158894,98.374441,node
FamilyMart,Shopping,7.8526041,98.3471203,node
Two Villas Holiday,Tourism/Hotel,7.7918923,98.3195215,node
The Kiri Villas Resort,Tourism/Hotel,8.0142167,98.3268892,node
Baan Chayna Lounge Resort,Tourism/Hotel,7.9809558,98.2875849,node
Bella Tropicana Hotel and Guesthouse,Tourism/Hotel,7.8861505,98.3024784,node
khao rang place hôtel,Tourism/Hotel,7.8903618,98.3822494,node
The Blue Pearl,Tourism/Hotel,7.8245956,98.2978747,node
le Piman Resort,Tourism/Hotel,7.7907054,98.3301874,node
Bamboo House,Tourism/Hotel,7.8484793,98.2958352,node
Jiraporn (J.R.P.) Hill resort,Tourism/Hotel,7.8812001,98.2998197,node
Forest Patong Hotel,Tourism/Hotel,7.9013327,98.3080029,node
Nook Dee Kata Beach Resort,Tourism/Hotel,7.8117416,98.3014197,node
The village Resort & Spa,Tourism/Hotel,7.8540784,98.2940828,node
Tuana my friend house resort 3*,Tourism/Hotel,7.8410322,98.3020524,node
Sugar Palm resort,Tourism/Hotel,7.8165696,98.3017408,node
Benjamin Resort,Tourism/Hotel,7.9500878,98.2797199,node
Jurana Patong Phuket,Tourism/Hotel,7.8853244,98.2821363,node
บ้านตีลังกา,Tourism/Hotel,7.9384404,98.3796245,node
Avista Hideaway Resort and Spa,Tourism/Hotel,7.8781244,98.277151,node
Thalang Fresh Market,Shopping,8.0258924,98.3314153,node
Nok's house,Tourism/Hotel,7.9109946,98.3361384,node
Patong Central Residence & Apartment,Tourism/Hotel,7.8893876,98.2963841,node
Nap Pathong,Tourism/Hotel,7.9003468,98.2988683,node
Phuket Marathon,Tourism/Hotel,7.9983667,98.298279,node
Tops,Shopping,7.7953757,98.3155553,node
Chivatara Resort,Tourism/Hotel,7.9840093,98.285023,node
Phuket airport bread and breakfast,Tourism/Hotel,8.099395,98.3126888,node
Sira Boutique Residence,Tourism/Hotel,7.9017067,98.3073132,node
Surin Beach Resort,Tourism/Hotel,7.9715618,98.2782854,node
Chabana Kamala Hotel,Tourism/Hotel,7.9487493,98.2832443,node
Patong Marina Hotel,Tourism/Hotel,7.899969,98.2971835,node
Sino Inn Phuket Hotel,Tourism/Hotel,7.8880575,98.3805064,node
Island View,Tourism/Hotel,7.8344828,98.2973297,node
Phuket Blue Hostel,Tourism/Hotel,7.883472,98.3918709,node
Burasari Phuket,Tourism/Hotel,7.8879048,98.293116,node
Patong Merlin Hotel,Tourism/Hotel,7.8871225,98.2925515,node
Thai Palace Resort,Tourism/Hotel,7.7749852,98.3259765,node
Access Resort and Villa,Tourism/Hotel,7.843331,98.3011755,node
Daonairoi phuket,Education,7.8778124,98.385608,node
Sila apartments,Tourism/Hotel,7.9801068,98.2997753,node
Chalong Beach Hotel & Spa,Tourism/Hotel,7.8101701,98.3395461,node
7Days Premium Hotel Patong Phuket,Tourism/Hotel,7.8938333,98.3053531,node
Villa Market,Shopping,7.8240735,98.3397772,node
iSpeak international language school,Education,7.8682382,98.3569,node
เมืองเก่าภูเก็ต,Tourism/Hotel,7.8847774,98.3892206,node
Hôtel Smaïn,Tourism/Hotel,7.8813818,98.2995572,node
Sira Residence Hotel,Tourism/Hotel,7.9016452,98.3073397,node
kajonkietpattana school,Education,7.8707628,98.3600427,node
ภูเก็ตเรดดี้มิก,Tourism/Hotel,7.9190275,98.3946972,node
โรงแรมอาร์ซีบีป่าตอง,Tourism/Hotel,7.8916357,98.3006747,node
Local market,Shopping,7.824472,98.3019911,node
ดาราสมุทรภูเก็ต,Education,7.8897145,98.3689547,node
Kata On Sea Bungalow,Tourism/Hotel,7.8274008,98.298071,node
Palm Building,Tourism/Hotel,7.8362752,98.2995622,node
Karon Sea Breeze,Tourism/Hotel,7.8486363,98.2946595,node
Karon Sea Breeze Beach,Tourism/Hotel,7.8486654,98.2940742,node
The Sleepers,Tourism/Hotel,7.7915185,98.3174937,node
On Hill Residence,Tourism/Hotel,7.8822533,98.3007241,node
On Hill Residence Patong Phuket,Tourism/Hotel,7.8805349,98.3002037,node
Chanalai Flora Resort,Tourism/Hotel,7.8154951,98.3014909,node
SuperCheap,Shopping,7.8904665,98.3040909,node
24hrs.,Shopping,7.8906088,98.3041116,node
Monkeys,Tourism/Hotel,7.8858187,98.4208421,node
บ้านย่านสะบ้า,Education,8.1544336,98.4347398,node
The Residence Kalim Bay,Tourism/Hotel,7.9113607,98.2957344,node
โรงเรียนบ้านสะปำ,Education,7.9380486,98.3938535,node
Novotel Phokeethra,Tourism/Hotel,7.8784175,98.3944741,node
Dueanphen guesthouse,Tourism/Hotel,7.8217224,98.3418434,node
Cookie house,Tourism/Hotel,7.885842,98.3873273,node
Million Patong Beach Resort,Tourism/Hotel,7.8837181,98.2986949,node
Phuket town inn,Tourism/Hotel,7.8854222,98.3905563,node
Le Fay Airport Residence,Tourism/Hotel,8.1063994,98.3093724,node
B-Lay Tong Phuket,Tourism/Hotel,7.9057085,98.2976948,node
Absolute Bangla Suites,Tourism/Hotel,7.8927111,98.2970185,node
Rico's Hotel,Tourism/Hotel,7.8929007,98.2968706,node
The Elegant Patong,Tourism/Hotel,7.8990387,98.3020104,node
Big One,Shopping,7.89771,98.2999695,node
Sea U,Tourism/Hotel,7.8996792,98.3008636,node
Azzurro Village Hotel,Tourism/Hotel,7.8963299,98.2994802,node
Patong City Hometel,Tourism/Hotel,7.8980821,98.3018804,node
Villa Patong Resort,Tourism/Hotel,7.897612,98.301692,node
Anchor Boutique House,Tourism/Hotel,7.8984223,98.3015118,node
Patong Max Value Hotel,Tourism/Hotel,7.8983773,98.3018686,node
Karon Temple Market,Tourism/Hotel,7.8480156,98.2978062,node
Kinkeaw,Tourism/Hotel,7.8869151,98.3024763,node
Dreamy Villa Kata Beach,Tourism/Hotel,7.8162796,98.3022174,node
PHUKET KATA RESORT,Tourism/Hotel,7.8168663,98.3026962,node
Sugar Marina Resort,Tourism/Hotel,7.8162472,98.3015745,node
กะตะวิวพอยท์ รีสอร์ท,Tourism/Hotel,7.8163257,98.3034376,node
Metadee Resort Phuket,Tourism/Hotel,7.8189584,98.3040944,node
Centara Kata Resort Phuket,Tourism/Hotel,7.8218295,98.2997054,node
Casa de Coral Boutique Hotel,Tourism/Hotel,7.8225152,98.2991155,node
BAANNUENG @ KATA,Tourism/Hotel,7.8220032,98.3018349,node
idspa Kata Beach Phuket,Tourism/Hotel,7.8241539,98.297766,node
Sugar Inn Phuket,Tourism/Hotel,7.8237915,98.2980323,node
Outdoor Inn & Restaurant,Tourism/Hotel,7.824136,98.2981698,node
Dome Center - Kata Beach,Tourism/Hotel,7.8237633,98.2989829,node
Oh Inspire Hotel Kata,Tourism/Hotel,7.8235724,98.3013162,node
Wonderful pool house at Kata,Tourism/Hotel,7.8235054,98.301131,node
The Charm Hotel,Tourism/Hotel,7.8232638,98.3009645,node
Kata Blue Sea Resort,Tourism/Hotel,7.8238204,98.3007064,node
Kata Residence,Tourism/Hotel,7.8231379,98.3017865,node
Rama Kata Beach Hotel,Tourism/Hotel,7.8233732,98.3023411,node
Sugar Palm Grand Hillside,Tourism/Hotel,7.8142148,98.3006597,node
The Heights Phuket,Tourism/Hotel,7.8134916,98.3015458,node
Katamanda Luxury Villas,Tourism/Hotel,7.8118065,98.2999901,node
Baan Kata Villas,Tourism/Hotel,7.812819,98.2968572,node
Orchidacea Resort,Tourism/Hotel,7.8120327,98.2986838,node
"Villa Amanzi, G2 Katamanda Villas",Tourism/Hotel,7.8102846,98.2985426,node
Kata Gardens Apartments,Tourism/Hotel,7.8111175,98.2977347,node
Mom Tri's Villa Royale Hotel,Tourism/Hotel,7.8101373,98.2972427,node
Seaview Residence(ซีวิวเรสซิเดนส์),Tourism/Hotel,7.8099381,98.2996345,node
Kata Noi Resort,Tourism/Hotel,7.807299,98.3006619,node
FOTO HOTEL PHUKET,Tourism/Hotel,7.8113532,98.3012393,node
Katanoi Club Hotel,Tourism/Hotel,7.8048019,98.2999879,node
The Shore At Katathani,Tourism/Hotel,7.8031138,98.2993158,node
The Peaks Residence Kata noi,Tourism/Hotel,7.8080289,98.3021823,node
Kata Beach Studio,Tourism/Hotel,7.8155087,98.304228,node
Gold Queen House,Tourism/Hotel,7.8155453,98.3037582,node
Aloha Residence,Tourism/Hotel,7.8155393,98.3050201,node
Natalie Resort,Tourism/Hotel,7.8162983,98.3026756,node
Kata View Point Resort,Tourism/Hotel,7.8162042,98.3034419,node
Casa E Mare Hotel Phuket,Tourism/Hotel,7.8155624,98.3046804,node
Palmery Resort & Spa,Tourism/Hotel,7.8165551,98.3065192,node
Kata Helmet & Appartments,Tourism/Hotel,7.8168466,98.3078603,node
Fool's Paradise Apartment,Tourism/Hotel,7.8174055,98.3076027,node
Pure & Pam Village,Tourism/Hotel,7.8190372,98.3066597,node
"Kanchanalai Co., Ltd.",Tourism/Hotel,7.8168522,98.3062748,node
ห้างหุ้นส่วนจำกัด กะตะ ซัน บีช,Tourism/Hotel,7.8175239,98.3061824,node
Kata Ocean View Residences,Tourism/Hotel,7.8191677,98.3128984,node
VILLA GINBORN,Tourism/Hotel,7.8181153,98.3129162,node
PATHAYA PLACE KATA HOTEL,Tourism/Hotel,7.8181871,98.3114433,node
The View Phuket by Resava,Tourism/Hotel,7.8243455,98.3037276,node
Baan Kongdee Sunset,Tourism/Hotel,7.8281229,98.3056055,node
Moutain Sea View Luxury Apartments,Tourism/Hotel,7.8292216,98.3049549,node
Kata Mountain Inn,Tourism/Hotel,7.8295103,98.3016543,node
The Kata Resort,Tourism/Hotel,7.8278472,98.3011858,node
Villa Tona Phuket,Tourism/Hotel,7.8298997,98.3011418,node
Full Moon Beach Resort Phuket,Tourism/Hotel,7.8280778,98.2990291,node
Horizon Karon Beach Resort & Spa,Tourism/Hotel,7.8299104,98.2973741,node
Karon Beach Inn,Tourism/Hotel,7.8498637,98.2951967,node
Sugar Palm Karon Resort,Tourism/Hotel,7.8491985,98.294547,node
Paradise Inn Phuket,Tourism/Hotel,7.848837,98.2944565,node
Sugar Marina Resort - Art,Tourism/Hotel,7.8489428,98.2940365,node
Karon Whale Resort,Tourism/Hotel,7.8493436,98.2941878,node
Rattana Beach Hotel,Tourism/Hotel,7.8486693,98.2952695,node
Unotel Karon Beach,Tourism/Hotel,7.8484019,98.2950784,node
Crystal Beach Hotel,Tourism/Hotel,7.8484801,98.2944152,node
ON Hotel Phuket & Louis' Kitchen,Tourism/Hotel,7.8485705,98.2942542,node
Coral Inn & Coral Restaurant,Tourism/Hotel,7.8488266,98.2936185,node
Ruxxa Design Hotel,Tourism/Hotel,7.8482175,98.2939011,node
Karon Sea Sands Resort,Tourism/Hotel,7.847372,98.2945429,node
Karon Park View,Tourism/Hotel,7.8462351,98.2990833,node
Grand Sunset Hotel,Tourism/Hotel,7.8427303,98.2959406,node
The Old Phuket,Tourism/Hotel,7.8440912,98.2961102,node
Baumancasa Beach Resort,Tourism/Hotel,7.8427236,98.2950661,node
"Phuket Villas, Property, Real Estate, Kata Rock",Tourism/Hotel,7.8131474,98.2963559,node
Sugar Marina Resort - Nautical,Tourism/Hotel,7.8122261,98.2982615,node
Kata Sun Beach,Tourism/Hotel,7.8134263,98.2986834,node
The Boathouse Phuket,Tourism/Hotel,7.8142601,98.2991604,node
Nai Han Beach Lagoon,Tourism/Hotel,7.7825069,98.310335,node
naiharn beach resort,Tourism/Hotel,7.782266,98.3103952,node
SUNSURI PHUKET,Tourism/Hotel,7.7799555,98.3079481,node
Chivitr Health and Rejuvenation,Tourism/Hotel,7.7817496,98.3095354,node
By The Lake Villas,Tourism/Hotel,7.7846505,98.3095707,node
Opal Villa,Tourism/Hotel,7.7850254,98.3072536,node
Sapphire Villa,Tourism/Hotel,7.7855549,98.3069383,node
The Little Art House,Tourism/Hotel,7.7861502,98.3085906,node
Green Villa,Tourism/Hotel,7.7870324,98.3088695,node
Sense of Yanui,Tourism/Hotel,7.7679975,98.3081584,node
Yanui Palm Bungalow,Tourism/Hotel,7.7690925,98.3084744,node
Palmyra Patong Resort Phuket,Tourism/Hotel,7.8983641,98.3007223,node
The Lantern Resorts Patong,Tourism/Hotel,7.892209,98.3002169,node
Chang Club Hotel,Tourism/Hotel,7.8922539,98.3011396,node
Bangkok Residence Hotel,Tourism/Hotel,7.8923444,98.3004364,node
Millennium Resort,Tourism/Hotel,7.8924458,98.2992067,node
Orchid Resortel,Tourism/Hotel,7.892849,98.2999212,node
Patong Hemingway's Hotel,Tourism/Hotel,7.8930774,98.3003191,node
San Sabai Patong Resort,Tourism/Hotel,7.8927504,98.300197,node
